Links,Name,Price,Location,Date,Description
https://www.olx.com.pk/item/oppo-reno-z-oppo-reno-2z-8gb-256gb-pta-approved-iid-1099699161,"Oppo Reno Z , Oppo Reno 2z 8gb 256gb pta approved","Rs 19,499","Mall Road, Lahore",4 days ago,"best wholesale rate in Lahore 
500/1000 k peechy khrab cheez na lain 
apko 100% original phone mily ga 7 days replacement warranty k sth 

Oppo Reno Z
8gb 256gb
AMOLED display Indisplay fingerprint 
48mp camera
in just 19,499
500 extra for box all accessories 
_____________________________

Oppo Reno 2z
8gb 256gb
AMOLED display Indisplay fingerprint 
pop up camera 48mp
in just 22,999
500 extra for box all accessories
__________________

in 10/10 lush new condition 
with 7 days replacement warranty 
pta approved 
all colors available 
100% original

hmm customers nai Bhai bnaty Hain
it will be your best experience with us inshAllah 

adress
mobile hut LG 10 zamin center shimla pahari Lahore near nadra office and shell pump"
https://www.olx.com.pk/item/oppo-reno-z-8gb512gburgent-sale-iid-1095793310,Vivo Y17 (8gb/256gb)urgent Sale,"Rs 15,999","Walton Road, Lahore",4 weeks ago,"All ok phone / No any fault
8gbRam/ 256gb storage
condition Lush 10/10
 PTA approved (Dual sim)
With original box and charger cable
Face-lock and fingerprint ok
Neend money very urgently sale
plz call. 0/3/2/9/7/7/5/7/4/1/3"
https://www.olx.com.pk/item/oneplus-n200-5g-single-sim-5g-pta-approved-1010-condition-iid-1097259451,Oneplus N200 5G Single sim 5G pta approved 10/10 condition,"Rs 18,999","Johar Town, Lahore",2 weeks ago,"Oneplus N200
4/64 
single sim 5G 
pta approved
big quantity Available 
Contact on whatsapp
only whtpps call 03/14/79/73/419"
https://www.olx.com.pk/item/vivo-s1-8gb-256gb-box-all-accessories-pta-approved-iid-1098966123,Vivo S1 8gb 256gb box all accessories pta approved,"Rs 17,999","Mall Road, Lahore",4 days ago,"best wholesale rate in Lahore 
500/1000 k peechy khrab cheez na lain 
apko 100% original phone mily ga 7 days replacement warranty k sth 

Vivo S1
8gb 256gb
dual sim

in just 17,999
box all accessories 500 extra 

in 10/10 lush new condition 
with 7 days replacement warranty 
pta approved 
all colors available 
100% original 

with 8 years of trusted customers alhumdulilah 
it will be your best experience with us inshAllah 

adress
mobile hut LG 10 zamin center shimla pahari Lahore near nadra office and shell pump"
https://www.olx.com.pk/item/vivo-v15-8256-dual-sim-pta-with-original-charger-iid-1099423237,VIVO V15 8/256 dual SIM pta with original charger,"Rs 18,999","Wapda Town, Lahore",2 weeks ago,"Display 6.53 inches, IPS LCD, 1080 x 2340 pixels
Processor MediaTek Helio P70
RAM 8 GB
Storage 256 GB
Rear Camera Triple: 12 MP (f/1.78) + 8 MP (f/2.2, ultrawide) + 5 MP (f/2.4, depth sensor)
Front Camera Motorized pop-up 32 MP (f/2.0)
Operating System Android 9.0 Pie with Funtouch OS 9
Battery Non-removable Li-Po 4000 mAh
Connectivity Dual SIM, 4G LTE, Wi-Fi 802.11 a/b/g/n, Bluetooth 5.0
Sensors Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass
Dimensions 161.2 x 75.9 x 8.5 mm
Weight 189.5 g
Colors Glamour Red, Frozen Black
Other Features Face unlock, Game Mode 5.0, Dual Engine Fast Charging"
https://www.olx.com.pk/item/vivo-y83-6128gb-vivo-y85-464-new-1010-pta-approved-with-full-box-iid-1098954367,Vivo Y83 6/128 | Vivo Y85 4/64 New 10/10 PTA Approved With full box,"Rs 10,999","New Gulshan Ravi Park, Lahore",4 weeks ago,"Vivo Y83
New Condition 10/10
6gb Ram 128gb Memory 
PTA Approved dual Sim
With Face Unlock feature 
Best Camera Reault & Battery Timing 
With Box and Charger 
Rs: 11,500

VIVO Y85
New Condition 10/10
4gb Ram 64gb Memory 
PTA Approved Dual Sim
With Fingerprint 
Good Camera Result & Battery timing
With box and Charger 
Rs: 10,999

Location:  Near Chuburji Gulahan Ravi Lahore
0.3. 2.7. . //8.1. 6.1. 0.0. 6//"
https://www.olx.com.pk/item/vivo-y66vivo-y85vivo-y83vivo-y97-6128-iid-1097194616,"Vivo S1,Y17,Y85,Y83,Y97,Vivo Y66 6/128","Rs 16,500","Hall Road, Lahore",2 weeks ago,"Al-hamdullilah Fresh stock Arrived 

Best mobiles company gives you unbeatable best prices and best products with best satisfactory services. . 

Here are details of vivo models and prices

Vivo S1 6gb ram 128gb memory 
10by10 condition 
dual sim pta approved lifetime warranty 
In display fingerprint sensore 
Super Amoled Panel
best for photography best for gaming
Full day battery time
price pkr 16500


Vivo y66 4gb ram 64gb memory 
condition 10by10 
Pta approved lifetime warranty 
no restrictions of any applications 
Battery full day
Price 7000

Vivo Y85 4gb ram 64gb memory 
condition 10by10 stock stock 
Pta approved lifetime warranty dual sim
no restrictions of any applications 
Battery full day
price 9500

Vivo Y83 6gb ram 128gb memory 
10by10 condition fresh stock 
dual sim pta approved lifetime warranty
no restrictions of any applications 
Battery full day 
price 10,000

Vivo Y97 6gb ram 128gb memory 
10by10 condition fresh stock 
dual sim pta approved lifetime warranty 
no restrictions of any applications 
Battery full day 
price 11500

Vivo Y19 6gb ram 128gb memory 
10by10 condition refresh stock 
dual sim pta approved lifetime warranty 
no restrictions of any applications 
Battery full day 
price 14000

Best mobiles company gives you 7 days backup warranty 

Best mobiles company shop no 17 Abdullah centre 1st floor main hall road lahore timing 1pm to 9pm 

 

contact us #(View phone number)  (View phone number)"
https://www.olx.com.pk/item/vivo-s1-8gb256gb-1010-with-complete-box-iid-1098831769,Vivo S1 8Gb+256Gb 10/10 with Complete Box,"Rs 19,500","Mughalpura, Lahore",4 weeks ago,"(View phone number)
AoA Have A Good day am selling my
Vivo S1 Condition 10/10 100℅
Dual sim 4G 
256Gb Rom + Sd Card Supported 
8Gb Ram ) 
32mp HDr Selfie Camera
16mp Back Triple Ai Came Ful HD
In Display Fastest Fingerprint 
High Defination Super Amoled Display in wich 1080p Resoulation
4500Mah Long Battrey Timing
Duall Enging Fast charging
Orignal 18w Charger + Data Cable & Orignal Back pauch with Box
If anyone Intrested To Buy Only contact me To my cell # Dont text me on Olx
Thanks and *JazzakAllah"
https://www.olx.com.pk/item/oppo-f11-8256gb-vivo-y17-8gb-256gb-dual-sim-5000-mah-batter-1010-iid-1088421826,"Oppo F11 8/256Gb, Vivo Y17 8Gb 256Gb Dual sim ( 5000 Mah batter) 10/10","Rs 14,999","Ichhra, Lahore",1 week ago,"Fixed Price

VIVO Y17 8Gb 256Gb 
Oppo F11 8/256Gb 
Mint condition 
DUAL SIM Approved 
Face unlocked 
Fingerprint sensor 
All sensors working fine 
13+8+2 MP BACK CAMERA
20+16 MP FRONT CAMERA
5000 MAH BATTERY
Pta Lifetime warranty 

Excellent battery backup 


500 Extra For Box Charger 

Price Is Dead final

MEHAR STORE

OFFICE LOCATION: Javed market ichhra opposite cook nook pizza Alfateh hostle office no 108"
https://www.olx.com.pk/item/iphone-7-pta-approved-iid-1099765127,iPhone 7 PTA Approved,"Rs 16,000","Allama Iqbal Town, Lahore",3 minutes ago,"iPhone 7 PTA Approved 32GB All ok 
Battery health 95 
100% Original hai 
Fault less 
Cam result out class 
finger print working 
wifi working 
sound good 
Condition 10/9
Life time PTA Approved 
All original 100% 
Price 16 final hai 
Best for PUBG
AK Paisa be kum ni ho ga 
0333
493
5825

Please Note 
iPhone 7 non PTA Market main log 
15 ka Sale kar Rahay hain. 
Hall Road or Hafeez center pata karo"
https://www.olx.com.pk/item/nokia-iid-1099821577,nokia,"Rs 20,000","Gulberg 1, Lahore",7 minutes ago,"phone for sale 
condition good"
https://www.olx.com.pk/item/redmi-note-8-iid-1099843999,Redmi note 8,"Rs 18,000","Vital Homes FF, Lahore",11 minutes ago,"Redmi note 8
4/64
Condition 9/10
Phone with box"
https://www.olx.com.pk/item/infinix-hot-12-play-iid-1099843922,Infinix Hot 12 Play,"Rs 12,500","Chungi Amar Sadhu, Lahore",16 minutes ago,"AOA
Only Panel Changed But Original Panel Installed Cell Phone Hy Only Price Almost Final"
https://www.olx.com.pk/item/lg-g7-thinq-464-iid-1099710807,LG G7 thinq (4/64),"Rs 15,000","PCSIR Staff Colony, Lahore",20 minutes ago,"back broken and finger not working 
other wise all okay face recognition screen everything is good
pta approved"
https://www.olx.com.pk/item/sparx-neo-6-plus-new-box-iid-1099843818,Sparx neo 6 plus new box,"Rs 18,000","Gulshan-e-Lahore, Lahore",22 minutes ago,"urgent sale 
new box pack phone for sale"
https://www.olx.com.pk/item/samsung-a30-iid-1099843531,Samsung a30,"Rs 15,000","Singhpura, Lahore",43 minutes ago,"non pta
4/64 
phone all ok"
https://www.olx.com.pk/item/huawei-nova-2-plus-iid-1099843394,Huawei Nova 2 Plus,"Rs 15,000","Sodiwal, Lahore",53 minutes ago,"Urgent Sale krna ha Cash ki zaroorat ha just is liye sale kr rha hoo. Non PTA but 1000,1500 me easily approved ho jay ga phone ki condition 100/100 ha kusi kism ka koi fault ni ha slim and smart phone ha battery timing bohot zanardast ha. Price already munasib ha but serious buyer k liye mazeed munasib ho jay gi,"
https://www.olx.com.pk/item/sharp-aquos-r2-pta-proof-iid-1099843348,sharp Aquos R2 Pta proof,"Rs 18,499","Wassan Pura Scheme No. 2, Lahore",56 minutes ago,"Sharp Aquas R2 Pta proof condition 10\8
4/64 back crack Baki all ok hai"
https://www.olx.com.pk/item/iphone-7-official-pta-128-gb-109-iid-1099843256,iPhone 7 official PTA 128 GB 10/9,"Rs 19,500","Shahdara, Lahore",1 hour ago,"all ok mobile no any fault or repair 
128gb offlical PTA all geniune phone
battery health 100 or change Contact me on
watsapp number : (View phone number)"
https://www.olx.com.pk/item/box-and-charger-ha-iid-1099843233,Box and charger ha,"Rs 20,000","Thokar Niaz Baig, Lahore",1 hour ago,"itela70 4+4 ram and256gb room touch change only 
box ha"
https://www.olx.com.pk/item/apple-i-phone-6s-plus-32-gb-non-pta-iid-1099843196,Apple I phone 6s plus 32 GB non pta,"Rs 13,500","Wapda Town Phase 1, Lahore",1 hour ago,"Asslam u Alikun! I phone 6s plus Non Pta Ha 32 GB 10/10 Condition No Any Fault Finger ok Panal original Neat and Clean Set Urgent Sale. 
Exchange Possible 
(View phone number) contact on What's App"
https://www.olx.com.pk/item/0pp0-a15-fresh-condtion-no-open-rapier-10l93-32-iid-1099152501,0pp0 A15 fresh condtion no open rapier . 10l9.3 /32,"Rs 14,000","Sher Shah Colony, Lahore",1 hour ago,urgent sell oppo A15 3/32 fresh(View phone number) box charger with
https://www.olx.com.pk/item/exchange-to-mobile-4128-box-b-ha-iid-1099843083,exchange to mobile 4.128 box b ha,"Rs 18,000","Mehmood Booti, Lahore",1 hour ago,exchange to mobile 4.128 box b ha
https://www.olx.com.pk/item/oneplus-6t-8gb-128gb-100-orignal-iid-1096500896,vivo s1 8gb 256gb || oppo f15 8gb 256gb,"Rs 19,500","Walton Road, Lahore",2 days ago,"100% orignal stock not refurbished
vivo s1 8gb 256gb = 19/500
oppo f15 8gb 256gb = 19/500
dual SIM pta approve 
no open no repair 
under display fingerprint and all sensor perfectly working 
10/10 condition like new with box charger
you can also gift for you love one
price fix no banging
7 days check warranty if you have any problem of this phone then we can change it 
under display fingerprint face id and all sensor perfectly working 
only call no SMS no OLX chat 
only serious buyer can contact me thanks 
0/3/09/44/94/3/84"
https://www.olx.com.pk/item/oppo-f11-oppo-reno-z-iid-1089778065,OPPO F11 8/256 PTA APPROVED,"Rs 14,999","Faisal Town, Lahore",1 week ago,"MARKET CHALLENGE RATE
1ST TIME IN LAHORE 
ASA RATE AP KO KAHEN NHI MILY GA ALHUMDULILAH SATISFIED CUSTOMER JUST BUY AND ENHOY
ALHUMDULILAH 
 
OPPO F11 WITH BOX AND CHARGER RS. 15999
OPPO RENO Z WITH BOX AND CHARGER RS. 23999
OPPO RENO 2 Z WITH CHARGER RS. 32000

 Build Glass front (Gorilla Glass 5),
 Protection Corning Gorilla Glass 5
 Dual SIM (Nano-SIM, dual stand-by)
 AMOLED, HDR10
 Size 6.4 inches,
 OS Android 10, ColorOS 7.0
 Chipset Mediatek MT6779 Helio P90 (12 nm)
 Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)
 PowerVR GM9446
 8GB RAM
 256GB STORAGE
 UFS 2.1
 CAMERA Dual 48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF 5 MP, f/2.4, (depth)
 SELFIE CAMERA Single 32 MP,
 Video 4K@30fps, 1080p@30/60/120fps (gyro-EIS)
 stereo speakers
 NFC Yes
 USB Type-C, OTG
 Sensors Fingerprint (under display, optical),
 accelerometer, gyro, proximity, compass
 BATTERY Li-Po 4035 mAh,
 Charging 20W wired
Models PCDM10, CPH1979
VIVO Y17 WITH BOX AND CHARGER RS. 15999
VIVO S1
VIVO Y85
VIVO 57
VIVO F1 
HUAWEI 
SAMSUNG

 NO REPAIR LIFE TIME WARRANTY"
https://www.olx.com.pk/item/vivo-s1-8gb-256gb-display-fingerprints-4500-mah-battery-1010-condi-iid-1099664905,Vivo S1 8Gb 256Gb ( Display fingerprints) 4500 Mah battery 10/10 Condi,"Rs 18,999","Ichhra, Lahore",5 days ago,"FIXED PRICE 

Vivo S1 8Gb 256Agb 
Dual sim Approved 
With Box Charger A+
Display fingerprints sensor 
4500 Mah battery 
16Mp Camera 1080p Resolution 
Long Battery backup 
Excellent performance 
No any fault or repair working fine 
7 days check warranty 


**MEHAR STORE*

OFFICE LOCATION: Javed market ichhra opposite cook nook pizza Alfateh hostle office no 108"
