Links,Name,Price,Location,Date,Description
https://www.olx.com.pk/item/zte-blad-4gb64gb-fingerprint-5000mah-battery-new-box-pack-iid-1097810850,ZTE BLAD (4GB/64GB) Fingerprint 5000mAh Battery New Box Pack,"Rs 17,800",,4 weeks ago,"HASSAN MOBILE
            (Dharampura)
_________________________
184 - Main Dharampura Road opposite to  Dharampura Bazar
_________________________
 Timing   *12AM TO 11PM*
_________________________

• New Box Pack Mobile Available At Wholesale Price
_________________________

• Credit card Facility Available 
_________________________
 1 Year Official Warranty
 PTA Approved
 Original Company Box Pack
_________________________
 For More Information Contact on these numbers________________
 *(0307). (43). (37). (064)* 
  *(0300). (94). (594). (28)*"
https://www.olx.com.pk/item/oneplus-n200-5g-single-sim-5g-pta-approved-1010-condition-iid-1097259451,Oneplus N200 5G Single sim 5G pta approved 10/10 condition,"Rs 18,999",,2 weeks ago,"Oneplus N200
4/64 
single sim 5G 
pta approved
big quantity Available 
Contact on whatsapp
only whtpps call 03/14/79/73/419"
https://www.olx.com.pk/item/vivo-s1-6128-vivo-s1-iid-1098167489,Vivo y17 8/256 // Vivo Y17,"Rs 15,500",,3 weeks ago,"Vivo y17
6/128 genuine
dual sim approved 
complete box with accessories 
10/10 condition"
https://www.olx.com.pk/item/iphone-xr-xs-max-11-pro-max-12-pro-max-13-pro-max-14-available-iid-1097656801,iPhone XR XS Max 11 Pro Max 12 Pro Max 13 Pro Max 14 Boards Available,"Rs 15,999",,3 weeks ago,"iPhone Boards Available
(O3/O/3/1/7/1/O/O/O/1) 
iPhone XR/XS/XS Max
iPhone 11/11 Pro/11 Pro Max 
iPhone 12/12 Pro/12 Pro Max
iPhone 13/13 Pro/13 Pro Max
iPhone 14/14 Pro/14 Pro Max
Unlocked Clean With Face ID
64GB 128GB 256GB 512GB
You Can Check And Pay After Open Your Parcel 
Cash On Delivery Available
Warranty Available 
Contact O/3/I/7/6/5/8/9/2/3/5
Price are not same for all devices 
Main board with Face ID IOS Updated 

#iPhone11 #iPhone12 #iPhone13 #iPhone14"
https://www.olx.com.pk/item/oppo-f15-8gb-256gb-oppo-reno-z-8256gb-display-fingerprint-1010-iid-1082939734,"Oppo F11 8/256Gb, Vivo Y17 8Gb 256Gb Dual sim ( 5000 Mah batter) 10/10","Rs 15,500",,6 days ago,"Fixed Price

VIVO Y17 8Gb 256Gb 
Oppo F11 8/256Gb 
Mint condition 
DUAL SIM Approved 
Face unlocked 
Fingerprint sensor 
All sensors working fine 
13+8+2 MP BACK CAMERA
20+16 MP FRONT CAMERA
5000 MAH BATTERY
Pta Lifetime warranty 
Excellent battery backup 

500 Extra For Box Charger 

Price Is Dead final

MEHAR STORE

OFFICE LOCATION: Javed market ichhra opposite cook nook pizza Alfateh hostle office no 108"
https://www.olx.com.pk/item/iphone-12-pta-64gb-on-easy-installment-plan-iid-1097846214,iPhone 12 PTA (64GB) On Easy Installment Plan,"Rs 12,000",,4 weeks ago,"***** ONLY For Lahore *****

iPhone 12 PTA (64GB) On Easy Installment Plan
Brand :- iPhone
Down Payment Rs: 23,000/-
Monthly Installment Rs: ,12,000/-
11 Months Installment Plan
Total Amount: 155,000/-

Customer Trust Our First Priority 

'For More Information Contact Now 

Contact No :-0,3,1,4,8,6,1,9,2,1,5

Location :-  Fazal Son's, Temple Road, Abid Market Lahore"
https://www.olx.com.pk/item/zte-nubia-mobiles-iid-1094953783,ZTE Nubia RedMagic Mobiles All Models A35/A55/V60/Neo2 5G/Focus Pro 5G,"Rs 17,499",,5 days ago,"*ZTE Nubia/RedMagic/Blade Mobiles*

Mobile Palace 
ZTE Mobiles First official outlet at G-42 Corner Shop in Hafeez Centre Lahore. 

*ZTE Nubia Mobiles* 

All Models are Available
under Official Warranty & PTA Approved 

A35 4/64gb

A54 4/128gb

A55 4/64gb

A55 4/128gb

V60 Smart 8/128

V60 Design 16/256gb

Focus 16/256gb

Neo2 5G 20/256gb

Focus Pro 5G 20/256 gb 

only serious buyers contact me on Call/WhatsApp
For More Information Contact Now

Contact No 0321/410/00/07
Contact No 0331/924/21/11

Plz Contact or Visit 

Mobile Palace 
ZTE Mobiles First official outlet at G-42 Corner Shop in Hafeez Centre Lahore."
https://www.olx.com.pk/item/moto-z2-force-464-gaming-phone-iid-1097995033,moto Z2 force gaming phone,"Rs 16,000",,3 weeks ago,moto z2 force 4/64 pta approved snapdragon 835 best for pubg lovers
https://www.olx.com.pk/item/oneplus-9-12gb-256gb-one-plus-9-iid-1090060233,Vivo Y83 6gb 128gb pta approved box,"Rs 10,499",,2 weeks ago,"Best wholesale price in Lahore
500/1000 k peechy khrab cheez na lain
apko 100% original phone mily ga with 7 days replacement warranty 

Vivo Y83
6gb 128gb
dual sim

in just 10,499
box with all accessories 500 extra

Vivo Y83 6gb 128gb in 10,499
Vivo Y85 4gb 64gb in 10,499
vivo Y97 6gb 128gb in 11,999
vivo Y17 6gb 128gb in 14,999
Vivo Y19 6gb 128gb in 16,999
vivo V15 8gb 256gb in 18,999
vivo Y20s 6gb 128gb in 18,499
vivo S1 8gb 128gb in 17,999

in 10/10 lush new condition 
with 7 days replacement warranty 
pta approved 
all colors available 
100% original 

it will be your best best experience with us inshAllah 
with 8 years of trusted customers alhumdulilah 

adress
mobile hut LG 10 zamin center shimla pahari Lahore near nadra office and shell pump"
https://www.olx.com.pk/item/vivo-s1-8256-iid-1098827508,Vivo S1 (8/256),"Rs 20,000",,1 minute ago,"Vivo s1 
8 gb ram
256 gb Rom
in display fingerprint scanner
condition= 8.5/10
only phone and fast charger
price is a bit negotiable"
